position,entropy_value
603,0.125531
604,4.58496
605,1
606,1
607,2
608,1.58496
609,0.736966
610,0.367732
611,0.0141442
612,0.11211
613,2
614,0.475338
615,4.70044
616,0.415037
617,0.103093
618,0.13245
619,4.93886
620,1.97728
621,2.32193
622,0.415037
623,0.547488
624,0.540568
625,0.29956
626,3.90689
627,0.321928
628,4.24793
629,2.58496
630,1.58496
631,1.58496
632,3.58496
633,1.58496
634,1.58496
635,1.58496
636,3.32193
637,1
638,2.5025
639,4.84967
640,2.41504
641,1.48543
642,1.32193
643,0.321928
644,0.321928
645,0.321928
646,0.321928
647,1
648,1
649,1.58496
650,1.32193
651,2.95936
652,1.03103
653,0.684498
654,5.1127
655,3.11548
656,1.32193
657,2
658,1.32193
659,1
660,1
661,2
662,1.58496
663,1.58496
664,1.32193
665,2
666,2.58496
667,1
668,0.517848
669,4.55459
670,1.80735
671,2.32193
672,0.289507
673,4.62936
674,2
675,2.28951
676,0.530515
677,0.0801703
678,0.0801703
679,1.54749
680,0.874469
681,5.02237
682,0.241008
683,0.182864
684,0.13245
685,3.62167
686,3.8625
687,1.08746
688,0.263034
689,0.691878
690,0.628031
691,0.387023
692,3.32193
693,0.321928
694,4.24793
695,0.485427
696,0.807355
697,0.231326
698,3.37117
699,3.078
700,0.186413
701,2.32193
702,2.58496
703,1.80735
704,1
705,1.41504
706,1.08746
707,3.44798
708,1.25376
709,3.70044
710,1.8365
711,1.18763
712,0.0740006
713,0.0588937
714,0.853159
715,5.32193
716,1.41504
717,0.584963
718,0.152003
719,0.0450879
720,0.0450879
721,0.500898
722,0.652077
723,5.52356
724,1.58496
725,1.58496
726,1.05445
727,0.0430687
728,0.20482
729,0.0703893
730,0.668794
731,1.71621
732,0.192645
733,4.89077
734,1.22239
735,1.77259
736,0.0962153
737,0.534336
738,0.356144
739,0.0295948
740,7.61471
741,1.58496
742,2.58496
743,1.58496
744,0.289507
745,0.289507
746,0.652077
747,1.16993
748,3.58496
749,1.58496
750,3.58496
751,0.584963
752,1.80735
753,1
754,0.273018
755,1.70044
756,3.20163
757,4.52356
758,1.58496
759,0.169925
760,0.736966
761,0.169925
762,0.321928
763,2.70044
764,3
765,1.22239
766,2.80735
767,1.58496
768,2.32193
769,2
770,1.58496
771,1.58496
772,1
773,2
774,4.49185
775,2.32193
776,2.32193
777,0.111031
778,0.172467
779,2.52356
780,0.514573
781,3.70966
782,0.180572
783,0.280108
784,0.245825
785,2.83067
786,1.04152
787,5.56986
788,2.80735
789,1.58496
790,1
791,2.58496
792,2
793,2
794,0.584963
795,3.39232
796,0.736966
797,1.32193
798,1
799,2
800,2.16993
801,1
802,1.73697
803,0.929611
804,3.11548
805,0.131245
806,2.80735
807,0.137504
808,0.21864
809,0.13411
810,3.23732
811,4.08746
812,0.584963
813,0.125531
814,0.736966
815,0.83289
816,6.40939
817,2.32193
818,1.22239
819,1.37851
820,0.152003
821,0.621488
822,3.90689
823,1.58496
824,1.28011
825,0.169925
826,0.152647
827,3
828,2.87447
829,0.652077
830,1.25376
831,0.949374
832,5
833,1
834,0.76184
835,2.24548
836,2.41181
837,1.18057
838,1.58496
839,0.111031
840,0.111031
841,0.236067
842,0.246161
843,5.55459
844,0.485427
845,1.28011
846,3.90689
847,3.5025
848,3.32193
849,1.58496
850,1.58496
851,1.58496
852,0.807355
853,0.485427
854,4.58496
855,1.58496
856,1.58496
857,1.58496
858,1
859,1
860,1
861,3
862,1.32193
863,2.58496
864,1.58496
865,0.0995357
866,3.10434
867,1.90689
868,0.241008
869,4.52356
870,0.469485
871,2.71621
872,0.169925
873,0.211504
874,5.47573
875,3
876,1.58496
877,0.893085
878,3.05889
879,0.736966
880,2.16993
881,2.80735
882,1
883,2.41504
884,2.58496
885,2
886,1.58496
887,1
888,2.37851
889,3.24793
890,0.347923
891,3.48543
892,2.45943
893,3.32193
894,1.58496
895,3.16993
896,1.58496
897,1.58496
898,4.08746
899,1
900,1.87447
901,1.32193
902,0.817136
903,2
904,3.16993
905,1
906,1.90689
907,0.14439
908,0.14439
909,0.14439
910,0.932886
911,3.32193
912,2.32193
913,2
914,0.628031
915,0.197037
916,0.140863
917,0.106915
918,1.54432
919,0.0194962
920,3.8437
921,0.514573
922,0.938599
923,3.34577
924,1.16993
925,2.58496
926,0.85561
927,0.0740006
928,0.0374747
929,0.307429
930,3.18763
931,3.45943
932,0.736966
933,3.54057
934,2.32193
935,0.736966
936,2.32193
937,0.716207
938,1.94753
939,3.16993
940,1.58496
941,1.58496
942,4.39232
943,0.289507
944,0.652077
945,0.847997
946,1.22239
947,2.32193
948,1.58496
949,1.41504
950,0.321928
951,0.754888
952,0.169925
953,0.169925
954,1.16993
955,1.26303
956,2
957,3.80735
958,1
959,1.37851
960,0.36257
961,1.58496
962,1.73697
963,0.830075
964,4.55459
965,2.37346
966,1.70044
967,2
968,3.16993
969,1.58496
970,0.807355
971,1.22239
972,0.70044
973,1.22239
974,2.848
975,2.80735
976,1.32193
977,0.807355
978,3.24793
979,2.32193
980,1
981,0.906891
982,0.0506261
983,1.10309
984,2
985,0.321928
986,0.321928
987,0.378512
988,0.443607
989,2.39232
990,0.0194962
991,4.06609
992,1.58496
993,3.32193
994,2
995,0.584963
996,1
997,0.736966
998,2.58496
999,3.45943
1000,1.32193
1001,0.192645
1002,0.0780025
1003,0.203533
1004,4.70044
1005,1.32193
1006,0.584963
1007,3.49185
1008,2.58496
1009,2
1010,1.58496
1011,3.45943
1012,1.58496
1013,2
1014,1.22239
1015,0.949374
1016,1
1017,0.321928
1018,3.18982
1019,2.41504
1020,0.736966
1021,1.64386
1022,0.0931094
1023,0.0931094
1024,1.28011
1025,0.678072
1026,1.11548
1027,2
1028,0.160465
1029,6.33092
1030,0.459432
1031,0.70044
1032,4.52356
1033,1.58496
1034,1.58496
1035,3.75489
1036,2.54432
1037,0.678072
1038,0.807355
1039,2.58496
1040,1.58496
1041,1.58496
1042,0.0614005
1043,0.0141442
1044,6.74147
1045,1
1046,1
1047,1
1048,2
1049,1.58496
1050,1.58496
1051,1.58496
