position,entropy_value
663,0.673772
664,3.87732
665,2.0174
666,4.40439
667,3.32193
668,0.485427
669,0.253757
670,0.201882
671,3.42161
672,4.63582
673,0.169925
674,3.43494
675,2.67243
676,3.01123
677,1.90923
678,1.42545
679,0.990002
680,4.29326
681,0.751763
682,3.60716
683,1.78872
684,2.67187
685,0.112768
686,0.400213
687,1.18322
688,5.63904
689,3.152
690,0.72792
691,0.0888093
692,0.0955777
693,0.95109
694,1.83202
695,1.25691
696,6.93074
697,0.910733
698,0.100694
699,0.415037
700,0.102362
701,0.398549
702,1.59495
703,3.16658
704,1.96645
705,5.18587
706,0.943416
707,2.15325
708,0.0687128
709,0.155754
710,3.71716
711,0.0736855
712,8.33539
713,2.32193
714,1.87447
715,0.289507
716,0.736966
717,1.58496
718,1.29546
719,1.32193
720,3.86942
721,1.15582
722,8.17908
723,0.744161
724,1.86434
725,0.836501
726,0.607924
727,1.17852
728,3.74894
729,4.88349
730,1.33703
731,1.79701
732,0.756729
733,2.18133
734,0.429684
735,3.32673
736,4.33498
737,2.0174
738,6.90689
739,2.80735
740,2
741,1.58496
742,2
743,1.12029
744,2.11698
745,4.66297
746,3.79256
747,1.05135
748,0.332575
749,0.619969
750,2.90951
751,0.751763
752,5.00368
753,0.00846158
754,0.155754
755,0.393772
756,2.80373
757,1.60586
758,7.02035
759,4.52356
760,1.152
761,0.263034
762,2.06413
763,3.926
764,4.50524
765,1.09761
766,8.19804
767,0.736966
768,1.32193
769,1.64981
770,3.73039
771,2.63156
772,3.01123
773,1.90923
774,2.10352
775,3.54344
776,2.79701
777,0.0151864
778,0.198884
779,0.201882
780,3.21516
781,3.09761
782,1.05247
783,0.133483
784,0.738875
785,1.26303
786,5.13157
787,2.65136
788,1.27302
789,1.70627
790,2.078
791,2.18057
792,3.7288
793,0.831602
794,1.85854
795,0.168123
796,0.397563
797,3.04913
798,3.10038
799,2.02106
800,1.67646
801,0.946229
802,4.15791
803,0.90783
804,1.23087
805,2.30151
806,3.15796
807,2.52356
808,2.97085
809,0.39486
810,1.26096
811,0.289507
812,2.10352
813,5.09803
814,4.72792
815,5.08746
816,1.58496
817,2.58496
818,1.58496
819,1.84435
820,0.184425
821,8.79766
822,2.32193
823,1.32193
824,1
825,3.70044
826,2.58496
827,2.48956
828,4.74971
829,3.42824
830,2.06054
831,0.979822
832,0.518467
833,3.03342
834,2.26589
835,0.910019
836,3.64791
837,0.683878
838,5.45615
839,0.0294438
840,0.297681
841,3.9979
842,4.65896
843,1.50589
844,1.66626
845,5.37029
846,0.628031
847,7.41616
848,1.80735
849,1.32193
850,2.32193
851,1.83132
852,3.32819
853,2.48956
854,3.07455
855,3.34013
856,0.160093
857,4.31302
858,3.31288
859,3.28293
860,1.44057
861,7.5157
862,0.371969
863,0.343699
864,4.84891
865,0.990477
866,3.84747
867,1.20511
868,0.902153
869,3.56635
870,3.15966
871,2.42502
872,2.2115
873,1.92892
874,4.24393
875,0.846377
876,1.5521
877,3.7851
878,3.7673
879,2.6059
880,1.24207
881,1.04064
882,0.726239
883,0.945237
884,2.63016
885,4.21378
886,0.584963
887,1.08314
888,4.26946
889,0.861511
890,3.3484
891,1.47758
892,1.11103
893,0.540568
894,1.89239
895,2.87184
896,2.73965
897,0.160093
898,4.24793
899,1.44746
900,1.63294
901,2.87732
902,1.51706
903,1.7885
904,6.29462
905,2.01886
906,0.0356239
907,3.83007
908,1.22239
909,3.34239
910,0.847997
911,1.32193
912,5.08746
913,3.75899
914,2.86942
915,0.438884
916,4.36194
917,0.192645
918,0.600393
919,3.08746
920,0.772867
921,7.73809
922,0.584963
923,1.19265
924,0.120294
925,1.92845
926,1.04439
927,0.885468
928,4.41677
929,3.53605
930,3.28293
931,1.44057
932,4.34577
933,2.32193
934,1.33031
935,1.38904
936,1.3744
937,1.45337
938,5.48727
939,2.43857
940,1.81876
941,1.84583
942,3.41504
943,3.29915
944,2.52356
945,1.73207
946,0.263034
947,1.54649
948,2.97728
949,2.70044
950,1.62149
951,0.408859
952,0.945237
953,2.63016
954,4.68326
955,2.04439
956,4.49185
957,1.16993
958,2
959,1
960,0.398549
961,2.6746
962,5.61253
963,1.16146
964,1.39993
965,0.254573
966,1.37707
967,5.91222
968,0.408085
969,0.343699
970,3.72338
971,2.66496
972,2.9
973,2.71272
974,3.98606
975,4.32992
976,2.02106
977,1.67646
978,0.946229
979,3.09472
980,1.15582
981,3.99586
982,3.07343
983,1.88381
984,1.51937
985,0.0824622
986,0.754888
987,1.60266
988,3.19265
989,1.45519
990,2.42521
991,5.78136
992,0.447459
993,0.415037
994,5.78136
995,1.66051
996,0.825832
997,3.85722
998,4.57491
999,3.16993
1000,2.10692
1001,5.66297
1002,1.21917
1003,0.38247
1004,0.436986
1005,0.734241
1006,8.07948
1007,1.58496
1008,1
1009,0.415037
1010,3.32193
1011,1.22239
1012,2.58496
1013,1.15582
1014,4.02258
1015,0.869468
1016,2.65208
1017,1.86507
1018,0.490747
1019,1.59946
1020,2.49476
1021,0.945237
1022,2.63016
1023,4.29624
1024,0.89812
1025,0.379346
1026,2.62015
1027,0.0280144
1028,0.127756
1029,0.393772
1030,3.61743
1031,1.01465
1032,0.885468
1033,4.61471
1034,3.1383
1035,1.33031
1036,1.38904
1037,1.62678
1038,3.67094
1039,0.879146
1040,4.36717
1041,1.39593
1042,0.819428
1043,1.77987
1044,3.73697
1045,0.910019
1046,9.79766
1047,1
1048,1.24101
1049,0.530515
1050,0.736966
1051,4.70044
1052,5.02975
1053,1.21412
1054,0.917538
1055,1.04064
1056,5.48113
1057,6.44294
1058,1.58496
1059,0.0995357
1060,0.201882
1061,3.68909
1062,0.761355
1063,0.746669
1064,3.74204
1065,1.28912
1066,3.41677
1067,3.45418
1068,2.52154
1069,3.53092
1070,2.28379
1071,7.24317
1072,1.48543
1073,3.91032
1074,0.678072
1075,2.3505
1076,0.49304
1077,2.38042
1078,4.14975
1079,4.80735
1080,2.40498
1081,1.01081
1082,0.885468
1083,7.24274
1084,2.08746
1085,2.32193
1086,2.58496
1087,3.58496
1088,2
1089,1.58496
1090,2.61813
1091,4.7318
1092,6.44294
1093,1.58496
1094,4.45943
1095,1.58496
1096,1.58496
1097,1.16993
1098,2
1099,1
1100,0.398549
1101,5.63807
1102,0.537657
1103,2.47615
1104,1.28868
1105,5.17991
1106,2.31808
1107,1.49228
1108,1.39734
1109,1.6399
1110,5.90345
1111,2.62963
1112,0.38247
1113,0.436986
1114,0.734241
1115,2.10794
1116,0.882123
1117,3.69095
1118,2.41343
1119,3.99586
1120,2.96782
1121,3.38543
1122,1.40054
1123,2
1124,2.08746
1125,2.06774
1126,3.34767
1127,3.09452
1128,4.68182
1129,0.742202
1130,3.00749
