context,symbol,count
ado?\nDa boca dos pequenos sei, contudo,\nQue o lo,u,1
nhado?\nDa boca dos pequenos sei, contudo,\nQue o ,l,1
sonhado?\nDa boca dos pequenos sei, contudo,\nQue ,o,1
 sonhado?\nDa boca dos pequenos sei, contudo,\nQue, ,1
m sonhado?\nDa boca dos pequenos sei, contudo,\nQu,e,1
ido nem sonhado?\nDa boca dos pequenos sei, contud,o,1
cido nem sonhado?\nDa boca dos pequenos sei, contu,d,1
onhecido nem sonhado?\nDa boca dos pequenos sei, c,o,1
�o conhecido nem sonhado?\nDa boca dos pequenos se,i,1
 não conhecido nem sonhado?\nDa boca dos pequenos, ,1
nDe vós não conhecido nem sonhado?\nDa boca dos ,p,1
\nDe vós não conhecido nem sonhado?\nDa boca dos, ,1
udo,\nDe vós não conhecido nem sonhado?\nDa boca, ,1
rudo,\nDe vós não conhecido nem sonhado?\nDa boc,a,1
e rudo,\nDe vós não conhecido nem sonhado?\nDa b,o,1
xo e rudo,\nDe vós não conhecido nem sonhado?\nD,a,1
axo e rudo,\nDe vós não conhecido nem sonhado?\n,D,1
baxo e rudo,\nDe vós não conhecido nem sonhado?\,n,1
e, baxo e rudo,\nDe vós não conhecido nem sonhad,o,1
 humilde, baxo e rudo,\nDe vós não conhecido nem, ,1
o, humilde, baxo e rudo,\nDe vós não conhecido n,e,1
lo, humilde, baxo e rudo,\nDe vós não conhecido ,n,1
falo, humilde, baxo e rudo,\nDe vós não conhecid,o,1
e falo, humilde, baxo e rudo,\nDe vós não conhec,i,1
u que falo, humilde, baxo e rudo,\nDe vós não co,n,1
eu que falo, humilde, baxo e rudo,\nDe vós não c,o,1
 eu que falo, humilde, baxo e rudo,\nDe vós não ,c,1
s eu que falo, humilde, baxo e rudo,\nDe vós não, ,1
as eu que falo, humilde, baxo e rudo,\nDe vós nã,o,1
Mas eu que falo, humilde, baxo e rudo,\nDe vós n�,�,1
4\nMas eu que falo, humilde, baxo e rudo,\nDe vós, ,1
54\nMas eu que falo, humilde, baxo e rudo,\nDe vó,s,1
154\nMas eu que falo, humilde, baxo e rudo,\nDe v�,�,1
\n154\nMas eu que falo, humilde, baxo e rudo,\nDe ,v,1
\n\n154\nMas eu que falo, humilde, baxo e rudo,\nD,e,1
.\n\n154\nMas eu que falo, humilde, baxo e rudo,\n,D,1
ndo.\n\n154\nMas eu que falo, humilde, baxo e rudo,,,1
ando.\n\n154\nMas eu que falo, humilde, baxo e rud,o,1
e pelejando.\n\n154\nMas eu que falo, humilde, bax,o,1
, tratando e pelejando.\n\n154\nMas eu que falo, h,u,1
do, tratando e pelejando.\n\n154\nMas eu que falo,, ,1
 vendo, tratando e pelejando.\n\n154\nMas eu que f,a,1
�o vendo, tratando e pelejando.\n\n154\nMas eu que, ,1
ão vendo, tratando e pelejando.\n\n154\nMas eu qu,e,1
Senão vendo, tratando e pelejando.\n\n154\nMas eu, ,1
